"FileName","Extension","Size_KB","LastModified","FullPath","FolderFamily"
"StreamingTTSAgent.ts",".ts","2.85","4/4/2026 3:51:19 AM","D:\AgentLeecompletesystem\LeeWay-Agents-the-World-Within\agents\agents\StreamingTTSAgent.ts","agents"
"SyntaxForge.ts",".ts","6.28","4/9/2026 7:41:27 PM","D:\AgentLeecompletesystem\LeeWay-Agents-the-World-Within\agents\agents\SyntaxForge.ts","agents"
"VisionAgent.ts",".ts","3.35","4/10/2026 3:47:31 PM","D:\AgentLeecompletesystem\LeeWay-Agents-the-World-Within\agents\agents\VisionAgent.ts","agents"
"__init__.cpython-312.pyc",".pyc","1.16","3/6/2026 1:21:31 AM","D:\AgentLeecompletesystem\LeeWay-Agents-the-World-Within\agents\agents\__pycache__\__init__.cpython-312.pyc","__pycache__"
"archivist_agent.cpython-312.pyc",".pyc","15.16","3/6/2026 1:21:31 AM","D:\AgentLeecompletesystem\LeeWay-Agents-the-World-Within\agents\agents\__pycache__\archivist_agent.cpython-312.pyc","__pycache__"
"code_scout_agent.cpython-312.pyc",".pyc","20.38","3/6/2026 1:21:31 AM","D:\AgentLeecompletesystem\LeeWay-Agents-the-World-Within\agents\agents\__pycache__\code_scout_agent.cpython-312.pyc","__pycache__"
"navigator_agent.cpython-312.pyc",".pyc","12.11","3/6/2026 1:21:31 AM","D:\AgentLeecompletesystem\LeeWay-Agents-the-World-Within\agents\agents\__pycache__\navigator_agent.cpython-312.pyc","__pycache__"
"sentinel_agent.cpython-312.pyc",".pyc","13.77","3/6/2026 1:21:31 AM","D:\AgentLeecompletesystem\LeeWay-Agents-the-World-Within\agents\agents\__pycache__\sentinel_agent.cpython-312.pyc","__pycache__"
"architecture-map-agent.js",".js","3.83","4/9/2026 7:42:50 PM","D:\AgentLeecompletesystem\LeeWay-Agents-the-World-Within\agents\discovery\architecture-map-agent.js","discovery"
"docs-agent.js",".js","3.4","4/9/2026 7:42:50 PM","D:\AgentLeecompletesystem\LeeWay-Agents-the-World-Within\agents\discovery\docs-agent.js","discovery"
"explain-agent.js",".js","2.63","4/9/2026 7:42:50 PM","D:\AgentLeecompletesystem\LeeWay-Agents-the-World-Within\agents\discovery\explain-agent.js","discovery"
"intent-registry-agent.js",".js","2.83","4/9/2026 7:42:50 PM","D:\AgentLeecompletesystem\LeeWay-Agents-the-World-Within\agents\discovery\intent-registry-agent.js","discovery"
"schema-agent.js",".js","3.01","4/9/2026 7:42:50 PM","D:\AgentLeecompletesystem\LeeWay-Agents-the-World-Within\agents\discovery\schema-agent.js","discovery"
"sitemap-agent.js",".js","1.9","4/9/2026 7:42:50 PM","D:\AgentLeecompletesystem\LeeWay-Agents-the-World-Within\agents\discovery\sitemap-agent.js","discovery"
"align-agent.js",".js","4.48","4/9/2026 7:42:50 PM","D:\AgentLeecompletesystem\LeeWay-Agents-the-World-Within\agents\governance\align-agent.js","governance"
"assess-agent.js",".js","4.91","4/11/2026 3:07:00 AM","D:\AgentLeecompletesystem\LeeWay-Agents-the-World-Within\agents\governance\assess-agent.js","governance"
"audit-agent.js",".js","6.39","4/9/2026 7:42:50 PM","D:\AgentLeecompletesystem\LeeWay-Agents-the-World-Within\agents\governance\audit-agent.js","governance"
"circular-dependency-agent.js",".js","1.9","4/9/2026 7:42:50 PM","D:\AgentLeecompletesystem\LeeWay-Agents-the-World-Within\agents\integrity\circular-dependency-agent.js","integrity"
"dependency-graph-agent.js",".js","2.56","4/9/2026 7:42:50 PM","D:\AgentLeecompletesystem\LeeWay-Agents-the-World-Within\agents\integrity\dependency-graph-agent.js","integrity"
"duplicate-logic-agent.js",".js","2.72","4/9/2026 7:42:50 PM","D:\AgentLeecompletesystem\LeeWay-Agents-the-World-Within\agents\integrity\duplicate-logic-agent.js","integrity"
"import-agent.js",".js","2.42","4/9/2026 7:42:50 PM","D:\AgentLeecompletesystem\LeeWay-Agents-the-World-Within\agents\integrity\import-agent.js","integrity"
"module-policy-agent.js",".js","2.65","4/9/2026 7:42:50 PM","D:\AgentLeecompletesystem\LeeWay-Agents-the-World-Within\agents\integrity\module-policy-agent.js","integrity"
"refactor-scan-agent.js",".js","3.11","4/9/2026 7:42:50 PM","D:\AgentLeecompletesystem\LeeWay-Agents-the-World-Within\agents\integrity\refactor-scan-agent.js","integrity"
"syntax-agent.js",".js","2.36","4/9/2026 7:42:50 PM","D:\AgentLeecompletesystem\LeeWay-Agents-the-World-Within\agents\integrity\syntax-agent.js","integrity"
"endpoint-agent.js",".js","2.75","4/9/2026 7:42:50 PM","D:\AgentLeecompletesystem\LeeWay-Agents-the-World-Within\agents\mcp\endpoint-agent.js","mcp"
"env-agent.js",".js","2.47","4/9/2026 7:42:50 PM","D:\AgentLeecompletesystem\LeeWay-Agents-the-World-Within\agents\mcp\env-agent.js","mcp"
"health-agent-lite.js",".js","2.8","4/9/2026 7:42:50 PM","D:\AgentLeecompletesystem\LeeWay-Agents-the-World-Within\agents\mcp\health-agent-lite.js","mcp"
"manifest-agent.js",".js","2.35","4/9/2026 7:42:50 PM","D:\AgentLeecompletesystem\LeeWay-Agents-the-World-Within\agents\mcp\manifest-agent.js","mcp"
"port-agent.js",".js","3.29","4/9/2026 7:42:50 PM","D:\AgentLeecompletesystem\LeeWay-Agents-the-World-Within\agents\mcp\port-agent.js","mcp"
"process-agent.js",".js","2.88","4/9/2026 7:42:50 PM","D:\AgentLeecompletesystem\LeeWay-Agents-the-World-Within\agents\mcp\process-agent.js","mcp"
"runtime-agent.js",".js","2.92","4/9/2026 7:42:50 PM","D:\AgentLeecompletesystem\LeeWay-Agents-the-World-Within\agents\mcp\runtime-agent.js","mcp"
"transport-agent.js",".js","2.11","4/9/2026 7:42:51 PM","D:\AgentLeecompletesystem\LeeWay-Agents-the-World-Within\agents\mcp\transport-agent.js","mcp"
"agent-registry.json",".json","40.54","4/9/2026 7:53:06 PM","D:\AgentLeecompletesystem\LeeWay-Agents-the-World-Within\agents\MCP agents\agent-registry.json","MCP agents"
"health-sweep.ts",".ts","1.54","3/31/2026 11:26:49 PM","D:\AgentLeecompletesystem\LeeWay-Agents-the-World-Within\agents\MCP agents\health-sweep.ts","MCP agents"
"package-lock.json",".json","47.79","3/11/2026 12:52:58 PM","D:\AgentLeecompletesystem\LeeWay-Agents-the-World-Within\agents\MCP agents\package-lock.json","MCP agents"
"package.json",".json","0.2","3/11/2026 12:52:58 PM","D:\AgentLeecompletesystem\LeeWay-Agents-the-World-Within\agents\MCP agents\package.json","MCP agents"
"STARTUP.md",".md","16.11","4/9/2026 7:53:06 PM","D:\AgentLeecompletesystem\LeeWay-Agents-the-World-Within\agents\MCP agents\STARTUP.md","MCP agents"
"sync-registry.ts",".ts","1.92","3/31/2026 11:26:49 PM","D:\AgentLeecompletesystem\LeeWay-Agents-the-World-Within\agents\MCP agents\sync-registry.ts","MCP agents"
"tsconfig.json",".json","0.39","4/3/2026 6:51:56 AM","D:\AgentLeecompletesystem\LeeWay-Agents-the-World-Within\agents\MCP agents\tsconfig.json","MCP agents"
"index.ts",".ts","12.31","4/3/2026 3:57:57 AM","D:\AgentLeecompletesystem\LeeWay-Agents-the-World-Within\agents\MCP agents\agent-registry-mcp\index.ts","agent-registry-mcp"
"manifest.yaml",".yaml","6.09","3/10/2026 11:10:19 PM","D:\AgentLeecompletesystem\LeeWay-Agents-the-World-Within\agents\MCP agents\agent-registry-mcp\manifest.yaml","agent-registry-mcp"
"package-lock.json",".json","59.23","3/11/2026 11:24:27 AM","D:\AgentLeecompletesystem\LeeWay-Agents-the-World-Within\agents\MCP agents\agent-registry-mcp\package-lock.json","agent-registry-mcp"
"package.json",".json","0.66","3/11/2026 11:24:27 AM","D:\AgentLeecompletesystem\LeeWay-Agents-the-World-Within\agents\MCP agents\agent-registry-mcp\package.json","agent-registry-mcp"
"tsconfig.json",".json","0.35","3/10/2026 9:54:47 PM","D:\AgentLeecompletesystem\LeeWay-Agents-the-World-Within\agents\MCP agents\agent-registry-mcp\tsconfig.json","agent-registry-mcp"
"agent-contracts.ts",".ts","5.86","4/9/2026 7:53:05 PM","D:\AgentLeecompletesystem\LeeWay-Agents-the-World-Within\agents\MCP agents\contracts\agent-contracts.ts","contracts"
"agent-lee-behavior-policies.ts",".ts","2.74","4/9/2026 7:53:05 PM","D:\AgentLeecompletesystem\LeeWay-Agents-the-World-Within\agents\MCP agents\contracts\agent-lee-behavior-policies.ts","contracts"
"agent-lee-core.contract.ts",".ts","6.88","4/9/2026 7:53:05 PM","D:\AgentLeecompletesystem\LeeWay-Agents-the-World-Within\agents\MCP agents\contracts\agent-lee-core.contract.ts","contracts"
"capability-vocab.ts",".ts","2.11","4/2/2026 6:13:26 AM","D:\AgentLeecompletesystem\LeeWay-Agents-the-World-Within\agents\MCP agents\contracts\capability-vocab.ts","contracts"
"intent-router-map.ts",".ts","2.67","4/9/2026 7:53:05 PM","D:\AgentLeecompletesystem\LeeWay-Agents-the-World-Within\agents\MCP agents\contracts\intent-router-map.ts","contracts"
"job-contract.ts",".ts","1.78","4/2/2026 6:15:08 AM","D:\AgentLeecompletesystem\LeeWay-Agents-the-World-Within\agents\MCP agents\contracts\job-contract.ts","contracts"
"index.ts",".ts","3.76","3/31/2026 11:26:49 PM","D:\AgentLeecompletesystem\LeeWay-Agents-the-World-Within\agents\MCP agents\desktop-commander-agent-mcp\index.ts","desktop-commander-agent-mcp"
"manifest.yaml",".yaml","4.76","3/10/2026 11:32:01 PM","D:\AgentLeecompletesystem\LeeWay-Agents-the-World-Within\agents\MCP agents\desktop-commander-agent-mcp\manifest.yaml","desktop-commander-agent-mcp"
"package-lock.json",".json","59.25","3/11/2026 11:25:32 AM","D:\AgentLeecompletesystem\LeeWay-Agents-the-World-Within\agents\MCP agents\desktop-commander-agent-mcp\package-lock.json","desktop-commander-agent-mcp"
"package.json",".json","0.67","3/11/2026 11:25:31 AM","D:\AgentLeecompletesystem\LeeWay-Agents-the-World-Within\agents\MCP agents\desktop-commander-agent-mcp\package.json","desktop-commander-agent-mcp"
"tsconfig.json",".json","0.37","3/10/2026 9:20:42 PM","D:\AgentLeecompletesystem\LeeWay-Agents-the-World-Within\agents\MCP agents\desktop-commander-agent-mcp\tsconfig.json","desktop-commander-agent-mcp"
"path-guard.ts",".ts","1.24","3/31/2026 11:26:47 PM","D:\AgentLeecompletesystem\LeeWay-Agents-the-World-Within\agents\MCP agents\desktop-commander-agent-mcp\lib\path-guard.ts","lib"
"capture-state.ts",".ts","1.61","3/31/2026 11:26:47 PM","D:\AgentLeecompletesystem\LeeWay-Agents-the-World-Within\agents\MCP agents\desktop-commander-agent-mcp\tools\capture-state.ts","tools"
"kill-process.ts",".ts","1.73","3/31/2026 11:26:47 PM","D:\AgentLeecompletesystem\LeeWay-Agents-the-World-Within\agents\MCP agents\desktop-commander-agent-mcp\tools\kill-process.ts","tools"
"open-app.ts",".ts","1.09","3/31/2026 11:26:47 PM","D:\AgentLeecompletesystem\LeeWay-Agents-the-World-Within\agents\MCP agents\desktop-commander-agent-mcp\tools\open-app.ts","tools"
"read-file.ts",".ts","1","3/31/2026 11:26:47 PM","D:\AgentLeecompletesystem\LeeWay-Agents-the-World-Within\agents\MCP agents\desktop-commander-agent-mcp\tools\read-file.ts","tools"
"run-terminal.ts",".ts","2.05","3/31/2026 11:26:47 PM","D:\AgentLeecompletesystem\LeeWay-Agents-the-World-Within\agents\MCP agents\desktop-commander-agent-mcp\tools\run-terminal.ts","tools"
"write-file.ts",".ts","1.64","3/31/2026 11:26:47 PM","D:\AgentLeecompletesystem\LeeWay-Agents-the-World-Within\agents\MCP agents\desktop-commander-agent-mcp\tools\write-file.ts","tools"
"index.ts",".ts","10.52","3/31/2026 11:26:49 PM","D:\AgentLeecompletesystem\LeeWay-Agents-the-World-Within\agents\MCP agents\docs-rag-agent-mcp\index.ts","docs-rag-agent-mcp"
"manifest.yaml",".yaml","5.35","4/8/2026 11:29:29 PM","D:\AgentLeecompletesystem\LeeWay-Agents-the-World-Within\agents\MCP agents\docs-rag-agent-mcp\manifest.yaml","docs-rag-agent-mcp"
"package-lock.json",".json","59.23","3/11/2026 11:25:38 AM","D:\AgentLeecompletesystem\LeeWay-Agents-the-World-Within\agents\MCP agents\docs-rag-agent-mcp\package-lock.json","docs-rag-agent-mcp"
"package.json",".json","0.66","3/11/2026 11:25:37 AM","D:\AgentLeecompletesystem\LeeWay-Agents-the-World-Within\agents\MCP agents\docs-rag-agent-mcp\package.json","docs-rag-agent-mcp"
"tsconfig.json",".json","0.33","3/10/2026 9:20:42 PM","D:\AgentLeecompletesystem\LeeWay-Agents-the-World-Within\agents\MCP agents\docs-rag-agent-mcp\tsconfig.json","docs-rag-agent-mcp"
"index.ts",".ts","10.37","4/8/2026 11:15:55 PM","D:\AgentLeecompletesystem\LeeWay-Agents-the-World-Within\agents\MCP agents\health-agent-mcp\index.ts","health-agent-mcp"
"manifest.yaml",".yaml","4.74","4/8/2026 11:14:09 PM","D:\AgentLeecompletesystem\LeeWay-Agents-the-World-Within\agents\MCP agents\health-agent-mcp\manifest.yaml","health-agent-mcp"
"package-lock.json",".json","59.23","3/11/2026 11:24:19 AM","D:\AgentLeecompletesystem\LeeWay-Agents-the-World-Within\agents\MCP agents\health-agent-mcp\package-lock.json","health-agent-mcp"
"package.json",".json","0.65","3/11/2026 11:24:19 AM","D:\AgentLeecompletesystem\LeeWay-Agents-the-World-Within\agents\MCP agents\health-agent-mcp\package.json","health-agent-mcp"
"tsconfig.json",".json","0.34","3/10/2026 10:42:02 PM","D:\AgentLeecompletesystem\LeeWay-Agents-the-World-Within\agents\MCP agents\health-agent-mcp\tsconfig.json","health-agent-mcp"
"index.ts",".ts","5.13","4/3/2026 3:57:56 AM","D:\AgentLeecompletesystem\LeeWay-Agents-the-World-Within\agents\MCP agents\insforge-agent-mcp\index.ts","insforge-agent-mcp"
"manifest.yaml",".yaml","4.95","3/10/2026 11:33:11 PM","D:\AgentLeecompletesystem\LeeWay-Agents-the-World-Within\agents\MCP agents\insforge-agent-mcp\manifest.yaml","insforge-agent-mcp"
"package-lock.json",".json","59.23","3/11/2026 11:25:57 AM","D:\AgentLeecompletesystem\LeeWay-Agents-the-World-Within\agents\MCP agents\insforge-agent-mcp\package-lock.json","insforge-agent-mcp"
"package.json",".json","0.65","3/11/2026 11:25:56 AM","D:\AgentLeecompletesystem\LeeWay-Agents-the-World-Within\agents\MCP agents\insforge-agent-mcp\package.json","insforge-agent-mcp"
"tsconfig.json",".json","0.33","3/10/2026 9:20:42 PM","D:\AgentLeecompletesystem\LeeWay-Agents-the-World-Within\agents\MCP agents\insforge-agent-mcp\tsconfig.json","insforge-agent-mcp"
"index.ts",".ts","4.73","4/3/2026 3:57:57 AM","D:\AgentLeecompletesystem\LeeWay-Agents-the-World-Within\agents\MCP agents\memory-agent-mcp\index.ts","memory-agent-mcp"
"manifest.yaml",".yaml","5.28","3/10/2026 11:10:45 PM","D:\AgentLeecompletesystem\LeeWay-Agents-the-World-Within\agents\MCP agents\memory-agent-mcp\manifest.yaml","memory-agent-mcp"
"package-lock.json",".json","59.23","3/11/2026 11:24:33 AM","D:\AgentLeecompletesystem\LeeWay-Agents-the-World-Within\agents\MCP agents\memory-agent-mcp\package-lock.json","memory-agent-mcp"
"package.json",".json","0.66","3/12/2026 11:46:17 PM","D:\AgentLeecompletesystem\LeeWay-Agents-the-World-Within\agents\MCP agents\memory-agent-mcp\package.json","memory-agent-mcp"
"tsconfig.json",".json","0.37","3/10/2026 9:20:42 PM","D:\AgentLeecompletesystem\LeeWay-Agents-the-World-Within\agents\MCP agents\memory-agent-mcp\tsconfig.json","memory-agent-mcp"
"session-store.ts",".ts","2.64","3/31/2026 11:26:47 PM","D:\AgentLeecompletesystem\LeeWay-Agents-the-World-Within\agents\MCP agents\memory-agent-mcp\lib\session-store.ts","lib"
"build-context-packet.ts",".ts","1.63","4/3/2026 3:57:57 AM","D:\AgentLeecompletesystem\LeeWay-Agents-the-World-Within\agents\MCP agents\memory-agent-mcp\tools\build-context-packet.ts","tools"
"compress-session.ts",".ts","1.17","3/31/2026 11:26:47 PM","D:\AgentLeecompletesystem\LeeWay-Agents-the-World-Within\agents\MCP agents\memory-agent-mcp\tools\compress-session.ts","tools"
"fetch-related-episodes.ts",".ts","1.53","4/3/2026 3:57:57 AM","D:\AgentLeecompletesystem\LeeWay-Agents-the-World-Within\agents\MCP agents\memory-agent-mcp\tools\fetch-related-episodes.ts","tools"
"recall-context.ts",".ts","4.51","4/9/2026 7:53:05 PM","D:\AgentLeecompletesystem\LeeWay-Agents-the-World-Within\agents\MCP agents\memory-agent-mcp\tools\recall-context.ts","tools"
"write-summary.ts",".ts","1.81","4/3/2026 3:57:57 AM","D:\AgentLeecompletesystem\LeeWay-Agents-the-World-Within\agents\MCP agents\memory-agent-mcp\tools\write-summary.ts","tools"
"index.ts",".ts","4.88","4/3/2026 3:57:57 AM","D:\AgentLeecompletesystem\LeeWay-Agents-the-World-Within\agents\MCP agents\planner-agent-mcp\index.ts","planner-agent-mcp"
"manifest.yaml",".yaml","5.12","3/10/2026 11:11:10 PM","D:\AgentLeecompletesystem\LeeWay-Agents-the-World-Within\agents\MCP agents\planner-agent-mcp\manifest.yaml","planner-agent-mcp"
"package-lock.json",".json","59.23","3/11/2026 11:24:40 AM","D:\AgentLeecompletesystem\LeeWay-Agents-the-World-Within\agents\MCP agents\planner-agent-mcp\package-lock.json","planner-agent-mcp"
"package.json",".json","0.66","3/11/2026 11:24:39 AM","D:\AgentLeecompletesystem\LeeWay-Agents-the-World-Within\agents\MCP agents\planner-agent-mcp\package.json","planner-agent-mcp"
"tsconfig.json",".json","0.4","4/3/2026 6:52:52 AM","D:\AgentLeecompletesystem\LeeWay-Agents-the-World-Within\agents\MCP agents\planner-agent-mcp\tsconfig.json","planner-agent-mcp"
"agent-contracts.ts",".ts","5.72","4/9/2026 7:53:05 PM","D:\AgentLeecompletesystem\LeeWay-Agents-the-World-Within\agents\MCP agents\planner-agent-mcp\contracts\agent-contracts.ts","contracts"
"intent-router-map.ts",".ts","2.64","4/9/2026 7:53:05 PM","D:\AgentLeecompletesystem\LeeWay-Agents-the-World-Within\agents\MCP agents\planner-agent-mcp\contracts\intent-router-map.ts","contracts"
"health-check.node.js",".js","2.41","4/1/2026 2:17:34 PM","D:\AgentLeecompletesystem\LeeWay-Agents-the-World-Within\agents\MCP agents\planner-agent-mcp\test\health-check.node.js","test"
"health-check.test.ts",".ts","2.46","3/31/2026 11:26:49 PM","D:\AgentLeecompletesystem\LeeWay-Agents-the-World-Within\agents\MCP agents\planner-agent-mcp\test\health-check.test.ts","test"
"break-into-steps.ts",".ts","1.07","3/31/2026 11:26:47 PM","D:\AgentLeecompletesystem\LeeWay-Agents-the-World-Within\agents\MCP agents\planner-agent-mcp\tools\break-into-steps.ts","tools"
"choose-agent.ts",".ts","1.26","4/9/2026 7:53:05 PM","D:\AgentLeecompletesystem\LeeWay-Agents-the-World-Within\agents\MCP agents\planner-agent-mcp\tools\choose-agent.ts","tools"
"make-plan.ts",".ts","2.06","3/31/2026 11:26:47 PM","D:\AgentLeecompletesystem\LeeWay-Agents-the-World-Within\agents\MCP agents\planner-agent-mcp\tools\make-plan.ts","tools"
